code,nom,fbID,apropos,description,mission,categorie1,categorie2,categorie3,pays,état,ville,adresse courte,adresse longue,likes,talking_about,Indice (L*TA/10^6)
JournalLeCourrier,Le Courrier du Haut-Richelieu,123932807676082,Le journal le plus lu du Haut-Richelieu. Consultez toute l'actualité en temps réel au journallecourrier.ca ,"Le Courrier du Haut-Richelieu est une revue journalistique Web et imprimée.

- Actualité en temps réel au journallecourrier.ca
- 30 000 exemplaires bimensuellement
- Gratuit et accessible : nous couvrons plus de 35 Villes et municipalités
- Plus de 40 000 abonnés à notre page Facebook
- Nombreux concours et tirages en ligne
- Actualité et chroniques à saveur locale

Le Courrier du Haut-Richelieu : le journal local le plus lu.
",?,Newspaper,Advertising Agency,Business Service,Canada,QC,Saint-Jean-sur-Richelieu,192-A rue Richelieu,"192-A rue Richelieu, Saint-Jean-sur-Richelieu, Quebec J3B 6X6",42348,563,"23,841924"
journalles2rives,Les 2 Rives,133524939991445,"Les 2 Rives, votre hebdo depuis 1978!
Ce qui est écrit sur notre page Facebook peut être publié dans le journal papier.",?,?,News & Media Website,Newspaper,Media/News Company,Canada,QC,Sorel,"58, rue Charlotte","58, rue Charlotte, Sorel, Quebec J3P 1G3",10231,2110,"21,58741"
JournalLeSoleildeChateauguay,Journal Le Soleil de Châteauguay,275463874404,"Le Soleil de Châteauguay, de Gravité Média, est distribué gratuitement chaque mercredi en version imprimée dans quelque 30 000 foyers. Il diffuse aussi des nouvelles en continu au www.cybersoleil.com",Pour connaître nos modalités d'utilisation cliquez ici http://www.cybersoleil.com/termes,?,Media,?,?,Canada,QC,Châteauguay,"82, boulevard Salaberry Sud","82, boulevard Salaberry Sud, Châteauguay, Quebec J6J 4J6",12960,2689,"34,84944"
journalmetro,Journal Métro,64790844524,Métro fait le tour de l'actualité de façon concise et rapide!,?,"Suivez-nous sur Facebook! On vous parle d'actualité locale et de culture, sans oublier les nouvelles plus légères pour faire passer la journée à la job plus vite!",News & Media Website,?,?,?,?,?,?,?,153197,4382,"671,309254"
kykradiox,KYK 95.7 Radio X,117228977327,"Page officielle de KYK 95.7 Radio X 

Pour nous rejoindre : 

Message Facebook
live@kykradiox.com
418-543-5131 (Directement en ondes)",?,?,Broadcasting & Media Production Company,Radio Station,Telecommunication Company,Canada,QC,Chicoutimi,"345, des Saguenéens, Local 160","345, des Saguenéens, Local 160, Chicoutimi, Quebec G7H 6K9",26435,2019,"53,372265"
la.lesaffaires,Les Affaires,100306918236,"Bienvenue sur la page Facebook de Les Affaires ! 

","Les Affaires est le seul média à contribuer à la réussite en affaires, professionnelle et financière, de quiconque fait des affaires au Québec ou s'y intéresse de près, en offrant le meilleur journalisme d'affaires, des plateformes inédites pour faciliter le développement des affaires, et des contenus pratiques pour la gestion et les finances personnelles.

Lisez-nous et suivez-nous ici :

www.lesaffaires.com
www.linkedin.com/company/les-affaires
www.twitter.com/la_lesaffaires

Retrouvez Les Affaires aux deux semaines en version papier ou en version numérique sur iPad et Zinio, et sur lesaffaires.com tous les jours.

Pour vous abonner : http://bit.ly/1TiYofl
",?,Business & Economy Website,?,?,Canada,QC,Montreal,"1100, boul. René-Lévesque Ouest, 24e étage","1100, boul. René-Lévesque Ouest, 24e étage, Montreal, Quebec H3B 4X9",124582,5487,"683,581434"
lactualite,L'actualité,10216458583,"Média de grands reportages, d'analyse et de réflexion, L'actualité est le magazine d'information numéro un au Québec et l'un des plus grands périodiques de langue française dans le monde. www.lactualite.com",La netiquette qui régit la modération des commentaire sur cette page Facebook est celle-ci : http://www.lactualite.com/netiquette,?,Magazine,?,?,?,?,?,?,?,466422,3549,"1655,331678"
lafrontiere,La Frontière / Le Citoyen,109730386592,Pour consulter notre politique d'utilisation: http://www.lafrontiere.ca/termes ,"Journal hebdomadaire propriété de TC Media. L'actualité des régions d'Amos, Val-d'Or, La Sarre, Rouyn-Noranda et Ville-Marie. ",?,Newspaper,Media/News Company,Other,Canada,QC,Rouyn,"177, rue Taschereau Est","177, rue Taschereau Est, Rouyn, Quebec J9X 3E6",18640,2216,"41,30624"
lanouvellenet,www.lanouvelle.net,109588815731299,?,?,?,Newspaper,?,?,Canada,QC,Victoriaville,43 Rue Notre-Dame E,"43 Rue Notre-Dame E, Victoriaville, Quebec G6P 3Z4",16772,1728,"28,982016"
LaPresseFB,La Presse,78302173311,"Toutes nos nouvelles: http://www.lapresse.ca  Si vous aimez notre page, recommandez-la à vos amis.",?,Le site d'information francophone le plus complet en Amérique.,News & Media Website,?,?,?,?,?,?,?,576831,60353,"34813,481343"
laterreca,La Terre de chez nous,330389168569,La Terre de chez nous est LA référence québécoise en matière d'actualités agricoles au Québec. www.laterre.ca,Le site internet de ĞLa Terre de chez nousğ publie chaque jour des nouvelles issues du monde agricole et rédigées par des journalistes d'expérience.,?,News & Media Website,?,?,Canada,QC,Longueuil,555 boulevard Roland-Therrien,"555 boulevard Roland-Therrien, Longueuil, Quebec J4H3Y9",26087,2405,"62,739235"
lavantageqcca,L'Avantage,311812224673,Pour consulter nos modalités d'utilisation cliquez ici: http://goo.gl/ntvdqV,"Rimouski :
LAvantage votre journal est un hebdomadaire de TC  Media, distribué gratuitement chaque mercredi à plus de 37 000 foyers, par notre équipe de camelots et de distributeurs, sur le territoire des MRC Rimouski-Neigette et de la Mitis ainsi que des municipalités à l'Est des MRC des Basques et du Témiscousata.  Cela en fait lhebdomadaire possédant le plus grand réseau de diffusion à lEst de Québec : une façon simple et efficace de communiquer avec plus de 70 000 lecteurs chaque semaine. Le taux dappréciation de LAvan­tage par ses lecteurs est de 7,8 sur 10, selon la firme de Sondage Léger Marketing, lors dune étude de lectorat effectuée en 2007, et le taux de lecture se situe à 92 %. Voilà qui confirme la perspicacité de nos annonceurs qui nhésitent pas à nous confier leur budget publicitaire.

Matane :
LAvantage gaspésien a vu le jour en mars 2004. LAvantage gaspésien est un hebdomadaire de TC  média, distribué gratuitement tous les mercredis à plus de 16 000 copies, par notre équipe de ca­me­lots, de distributeurs et par Postes Canada sur le territoire de Baie-des-Sables à Rivière-Madeleine : une façon simple et efficace de communiquer avec plus de 24 000 lecteurs cha­que semaine.",?,Media/News Company,?,?,Canada,QC,Rimouski,"217, avenue Léonidas sud, Bureau 6-D","217, avenue Léonidas sud, Bureau 6-D, Rimouski, Quebec G5L 2T5",62130,3423,"212,67099"
lavoixdelest,La Voix de l'Est,180973521937146,"Quotidien La Voix de l'Est
www.lavoixdelest.ca | http://twitter.com/lavoixdelest
redaction@lavoixdelest.ca
http://instagram.com/lavoixdelest","Notre site : www.lavoixdelest.ca
Notre compte Twitter : http://twitter.com/lavoixdelest
",?,Newspaper,?,?,Canada,QC,Granby,76 rue Dufferin,"76 rue Dufferin, Granby, Quebec J2G 9L4",15278,2074,"31,686572"
le.show.du.matin.CHOI981,"Gravel dans le retour - Radio X 98,1",118869274694,"Gravel dans le retour, lundi au vendredi, 15h à 18h!","jfblais@radiox.com pour nous faire parvenir vos scoops, vos histoires, vos sujets. N'hésitez pas !!!",?,Radio Station,Broadcasting & Media Production Company,Media,Canada,QC,Quebec,"1134, Grande-Allée Ouest","1134, Grande-Allée Ouest, Quebec, Quebec G1S 1E5",34357,1005,"34,528785"
Le1518,Le 15-18,493770360693544,"Émission de retour à la maison sur ICI Radio-Canada Première animée par Annie Desrochers. En ondes du lundi au vendredi de 15 h à 18 h au 95,1.","Au menu : entrevues, chroniques, analyses et débats sur les sujets chauds du jour aussi bien régionaux, nationaux quinternationaux.

Animation : Annie Desrochers 
Sports : Jean-Patrick Balleux 
Culture : Catherine Richer
Météo : Eve Christian 
Circulation : Yves Desautels

Reportages : Danny Braun, Dominic Brassard et Francis Labbé 
Chroniques :  
Michel C. Auger (Analyse politique) 
Marie-France Bazzo (Actualité) 
Simon Jodoin (Actualité)
Marc-André Carignan (Politique et actualité municipales) 
Jean-François Nadeau (Histoire de Montréal) 
Guy Bertrand (Linguistique) 
François Brousseau (Actualité internationale) 
Elizabeth Plank (Actualité américaine) 
Suzanne Coupal (Justice) 
Gérald Fillion (Économie) 
Fred Savard (Apéro intello) 

Recherche : Myriam Lemay-Gosselin, Hélène Bédard et André Dufresne 
Mise en ondes : Linda Pine
Assistante à la réalisation : Martine Roy 
Réalisation : Philippe Brazeau
Site Internet et réseaux sociaux : Catherine Contant

Veuillez noter que nous suivons la nétiquette de Radio-Canada pour effectuer la modération de cette page : http://www.radio-canada.ca/histoire/netiquette.html",?,Broadcasting & Media Production Company,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",18218,1730,"31,51714"
lecanadafrancais,Journal Le Canada français,255561392521,L'hebdo du Haut-Richelieu depuis 150 ans.,"Le Canada Français fait partie du groupe de presse icimédias. Lobjectif de cette page est de diffuser les histoires faisant vibrer les gens de la ville et engager la conversation avec eux sur les sujets qui les interpellent.
",?,Newspaper,?,?,Canada,QC,Saint-Jean-sur-Richelieu,"315, rue MacDonald, bureau 250","315, rue MacDonald, bureau 250, Saint-Jean-sur-Richelieu, Quebec J3B 8J3",20524,1016,"20,852384"
lechoabitibien,L'Écho Abitibien,252516926738,"Pour connaître nos politiques d'utilisation et de confidentialité, cliquez ici: 

http://tctranscontinental.com/privacy-policy","L'Écho Abitibien est un hebdomadaire vendu le vendredi. Le Citoyen est un hebdomadaire gratuit dont la date de parution est le mercredi. Le site web comprend tous les articles écrits dans ces deux publications.

Cette page est ouverte aux commentaires des citoyens. Nous prions les internautes de rester polis. Il est interdit de soumettre du contenu discriminatoire, insultant ou inapproprié, qui pourrait être retiré de notre page à notre discrétion.",?,Newspaper,?,?,Canada,QC,Val-d'Or,1462 rue de la Québécoise,"1462 rue de la Québécoise, Val-d'Or, Quebec J9P 5H4",19374,1693,"32,800182"
leclaireurprogres,L'Éclaireur Progrès,120296008004909,"Pour consulter nos modalités d'utilisation, cliquez ici: http://bit.ly/1xkHPsz ","Suivez-nous pour tout savoir sur l'actualité en Beauce. L'Éclaireur-Progrès, votre journal depuis plus de 100 ans. 
Vous pouvez aussi nous suivre sur Twitter: @EclairProgres

Contactez-nous: 
418 228-8858 
redaction@leclaireurprogres.ca
www.leclaireurprogres.ca",?,Media/News Company,?,?,Canada,QC,Saint-Georges,"710, 98e Rue","710, 98e Rue, Saint-Georges, Quebec G5Y 8G1",6384,982,"6,269088"
ledevoir,Le Devoir,98317905527,Libre de penser  http://www.ledevoir.com,?,"La mission première du Devoir est d'informer ses lecteurs et d'alimenter la réflexion au sein du public. Témoin honnête, libre et responsable, il n'obéit qu'à ses propres critères pour établir son traitement de l'actualité et la hiérarchie des informations qu'il présente à ses lecteurs.",News & Media Website,?,?,Canada,QC,Montreal,"1265 rue Berri, 8e étage","1265 rue Berri, 8e étage, Montreal, Quebec H2L 4X4",263064,15013,"3949,379832"
LeDroitca,Le Droit,152738728079652,"Le journal Le Droit, le quotidien francophone d'Ottawa-Gatineau.",?,?,Broadcasting & Media Production Company,Newspaper,News & Media Website,Canada,ON,Ottawa,"47, rue Clarence, bureau 222","47, rue Clarence, bureau 222, Ottawa, Ontario K1G 3J9",20527,1073,"22,025471"
LeNordCotier,Le Nord-Côtier,254400736372,"719, Boul. Laure
Sept-Îles (QC) 
G4R 1Y2 

www.lenord-cotier.com
twitter.com/lenordcotier
journal@lenord-cotier.com
(418) 960-2090 
(418) 968-3129 (téléc.) 

PROPRIÉTAIRES 
Simon Brisson 
Gino Lévesque

DIRECTEUR GÉNÉRAL 
Gino Lévesque","23 mars 2007 - Première parution du Journal Le Nord-Côtier 

",?,Newspaper,?,?,Canada,QC,Sept-Îles,"719, boulevard Laure","719, boulevard Laure, Sept-Îles, Quebec G4R 1Y2",15424,2199,"33,917376"
lenouvelliste,Le Nouvelliste,103058656428479,"Le Nouvelliste, votre quotidien régional depuis plus de 90 ans!","Le Nouvelliste, quotidien propriété de Groupe Capitales Médias, dessert les grandes régions de la Mauricie et du Centre-du-Québec.

Notre site internet
www.cyberpresse.ca/le-nouvelliste/

Notre version électronique
http://www.lenouvellistesurmonordi.ca/

Pour contacter notre salle de nouvelles: 819-693-5464
",?,Broadcasting & Media Production Company,?,?,Canada,QC,Trois-Rivières,"1920, rue Bellefeuille","1920, rue Bellefeuille, Trois-Rivières, Quebec G9A 3Y2",35462,2933,"104,010046"
LeQuotidienProgres,Le Quotidien,290633408116,Leader de l'information régionale au Saguenay-Lac-Saint-Jean. Pour nous contacter: redaction@lequotidien.com ou 418-690-8800,?,"Relater les faits d'actualité de notre région, et ce, sur une base quotidienne.",Broadcasting & Media Production Company,?,?,Canada,QC,Chicoutimi,1051 boulevard Talbot,"1051 boulevard Talbot, Chicoutimi, Quebec G7H 5C1",23949,3913,"93,712437"
LeRefletduLac,Le Reflet du Lac,120816134637957,?,?,"Rapporter les nouvelles (politique, sportive, communautaire, culturelle) de la région desservie",Media,Media/News Company,Company,Canada,QC,Magog,"53, rue Centre (bureau 300)","53, rue Centre (bureau 300), Magog, Quebec J1X 5B6",13897,1941,"26,974077"
lesacdechips,Le sac de chips,574845642586113,"Quand on commence, on ne s'arrête plus","Quand on commence, on ne s'arrête plus!",?,News & Media Website,?,?,?,?,?,?,?,71870,3259,"234,22433"
lesoleildequebec,"Le Soleil, le quotidien de Québec",192978590727638,"Le Soleil est la référence en information à Québec. Sur Twitter: @cyblesoleil Sur Instagram: @lesoleildequebec Sur Pinterest: @lesoleilquebec Sur Youtube: http://bit.ly/2AljXIa
",?,?,Media/News Company,?,?,Canada,QC,Quebec,"410, boulevard Charest Est","410, boulevard Charest Est, Quebec, Quebec G1K 7J6",60292,7463,"449,959196"
lhebdodustmaurice,L'Hebdo du St-Maurice,245901508753940,Le complément d'information à VOTRE hebdo local de TC Media: www.lhebdodustmaurice.com ,"Bienvenue sur la Page Facebook de l'Hebdo du St-Maurice. Celle-ci est un complément d'information à votre hebdo local de Ici Médias. Nous vous invitons à Ğaimerğ notre page pour être mis au courant de votre actualité locale régulièrement.

L'Hebdo vous fournit en actualités, mais s'intéresse également à ce que vous avez à dire et à ce que vous pensez.

",?,Broadcasting & Media Production Company,?,?,Canada,QC,Shawinigan,"1672, avenue Saint-Marc","1672, avenue Saint-Marc, Shawinigan, Quebec G9N 2H4",15507,1420,"22,01994"
Mario-Dumont-LCN-152848078188028,Mario Dumont LCN,152848078188028,?,?,?,TV Show,?,?,?,?,?,?,?,24944,1974,"49,239456"
MAURAIS.LIVE,Maurais Live - Radio X,218942341504026,"MAURAIS LIVE-Le matin, de 5h30 à 9h30, avec Dominic Maurais, JC Ouellet, Dan Gravel et Laurent Gaulin.  En semaine, à RadioX, CHOI 98,1fm.",?,?,Radio Station,?,?,?,?,?,?,?,25840,3058,"79,01872"
meteomedia,MétéoMédia,8157654607,Restez à laffût des plus récentes prévisions et nouvelles météorologiques. Joignez-vous à nous et téléchargez votre #MomentMeteo ici: http://goo.gl/RVcVmI ?,"Restez à laffût des plus récentes prévisions, nouvelles et vidéos météorologiques. Nhésitez pas à partager avec nous vos #MomentMeteo: goo.gl/zDqG3b",?,News & Media Website,?,?,?,?,?,?,?,260819,21338,"5565,355822"
montrealgazette,Montreal Gazette,273805206181,Keep the news with you at all times with the Montreal Gazette.  ,?,?,News & Media Website,?,?,?,?,?,?,?,150730,12732,"1919,09436"
naitreetgrandir,Naître et grandir,63358436494,Magazine et site web sur la grossesse et le développement des enfants de 0 à 8 ans,"Naître et grandir est à la fois un magazine et un site internet dont le but est d'accompagner les parents dans leur rôle auprès de leur enfant, dès la conception jusqu'à 8 ans. Les textes courts et concrets sont validés scientifiquement et rédigés dans un langage simple et accessible.

Plusieurs sujets y sont abordés, notamment le développement, le jeu, l'éducation, la santé, la nutrition et la psychologie. Naître et grandir ne diffuse aucune publicité et s'engage à une indépendance absolue à propos de son contenu.

Des campagnes Naître et grandir visent également à sensibiliser les parents et l'ensemble de la société québécoise à l'importance de favoriser le développement des enfants, dès leur plus jeune âge, afin de créer des conditions et des environnements propices à leur réussite éducative. ","La mission de Naître et grandir est de soutenir quotidiennement les parents québécois dans leur rôle auprès de leur enfant, de la conception jusquà 8 ans.",Media/News Company,?,?,?,?,?,?,?,271709,7269,"1975,052721"
protegezvous,Protégez-Vous,131271093563675,"Organisme sans but lucratif indépendant de toute influence commerciale, qui réalise des tests sur des milliers de produits, dans des labos spécialisés.","Pour contacter la rédaction : 
courrier@protegezvous.ca 

Pour contacter le service des abonnements : service@protegezvous.ca
1 866 895-7186 (lundi au vendredi de 8 h à 20 h et le samedi de 10 h à 17 h)

Protégez-Vous ne répondra pas systématiquement aux commentaires et questions laissés sur cette page Facebook. 

Facebook se veut un lieu de diffusion regroupant des opinions, des cas vécus et des enjeux formant une information complémentaire variée et aux multiples points de vues.

Nétiquette de Protégez-Vous:

1. Respect: Les propos grossiers, offensants, diffamatoires, les menaces ou les incitations à la violence ou à la haine ne seront pas acceptés, de même que les messages visant à dénigrer un individu ou une entreprise.

2. Publicité et relations publiques: Protégez-Vous refusera dafficher sur sa page tout message visant la vente ou la promotion dun bien ou dun service. Il en va de même pour tout appel à laction et arguments visant à utiliser un service ou à adhérer à un organisme politique, religieux ou autre. Les propos incitant à des pratiques malhonnêtes ou illégales seront aussi supprimés.

3. Droit de non publication: Protégez-Vous se réserve le droit de supprimer tout message qui enfreint les règles de nétiquette ou encore de supprimer certains messages trop longs.

-----------------------------------

www.protegezvous.ca
www.dataconso.ca
www.twitter.com/protegezvous
www.youtube.com/protegezvous
www.vimeo.com/protegezvous
www.pinterest.com/protegezvous
www.instagram.com/protegezvous
https://itunes.apple.com/ca/app/protegez-vous/id524994417
https://plus.google.com/u/0/101037916971915568652

","Protégez-Vous, cest un organisme sans but lucratif. Cest une équipe allumée qui, au moyen dun site web, dapplications, de guides pratiques, dun magazine et dinitiatives tels les sceaux ĞProtégez-Vous recommandeğ, vous offre des conseils avisés. Indépendants de toute influence commerciale, car soutenus par nos abonnés, nos experts effectuent chaque année des dizaines de tests sur des milliers de produits, dans des laboratoires spécialisés. En outre, ils réalisent des sondages rigoureux et mènent des enquêtes autonomes permettant de faire ressortir les meilleurs choix en matière de consommation.

Protégez-Vous rejoint 300 000 citoyens par le biais de ses publications, de ses infolettres et des réseaux sociaux. Nous sommes membres de lInternational Consumer Research and Testing, qui regroupe plus de 35 organismes répartis sur tous les continents et dont lactivité principale est de réaliser des tests sur des produits de consommation.",Media/News Company,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",160145,4090,"654,99305"
quotidienlatribune,La Tribune,315133550256,http://www.latribune.ca,?,?,Newspaper,Advertising/Marketing,Broadcasting & Media Production Company,Canada,QC,Sherbrooke,1950 Roy,"1950 Roy, Sherbrooke, Quebec J1K2X8",32059,19259,"617,424281"
radiocanada.info,Radio-Canada Information,131191820259167,"L'actualité au quotidien, avec vous. Et sur http://ici.radio-canada.ca.","L'actualité au quotidien, avec vous. Et sur http://ici.radio-canada.ca.

Merci de respecter la nétiquette lors de vos échanges, et surtout de demeurer respectueux des autres internautes, sans quoi vous courez le risque d'être bannis ne notre tribune : http://ici.radio-canada.ca/apropos/conditionsutilisation/netiquette/

Veuillez noter que nous effectuons une modération de base des commentaires, mais que nous n'avons pas la capacité de tous les lire. Merci de nous signaler les commentaires que vous jugez inappropriés.",?,News & Media Website,?,?,Canada,QC,Montreal,"1400, boulevard René-Lévesque Est","1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2",640965,50501,"32369,373465"
radiocanada.science,Radio-Canada Science,1093913860657127,"L'actualité scientifique au quotidien! On vous parle de science, santé et environnement. Suivez-nous!","L'actualité scientifique au quotidien, avec vous! Radio-Canada vous parle de science, santé et environnement.

Merci de respecter la nétiquette lors de vos échanges, et surtout de demeurer respectueux des autres internautes, sans quoi vous courez le risque d'être bannis ne notre tribune : http://ici.radio-canada.ca/apropos/conditionsutilisation/netiquette/

Veuillez noter que nous effectuons une modération de base des commentaires, mais que nous n'avons pas la capacité de tous les lire. Merci de nous signaler les commentaires que vous jugez inappropriés.",?,Media/News Company,?,?,Canada,QC,Montreal,"1400, boulevard René-Lévesque Est","1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2",29957,6114,"183,157098"
radiocanada.sports,Radio-Canada Sports,163083777048046,"Les nouvelles sportives de Radio-Canada, diffuseur officiel des Jeux olympiques jusqu'en 2024.

Twitter/Instagram : RC_Sports ",?,?,News & Media Website,?,?,?,?,?,?,?,67133,8438,"566,468254"
radioxquebec,"Radio X - CHOI 98,1",103399319745858,"CHOI 98,1 Radio X est LA station radiophonique de Québec. Ses opinions tranchées et pertinentes sur des sujets chauds de l'actualité ainsi que sa forte personnalité font de Radio X l'incontournable de la Capitale.","CHOI 98,1 Radio X est LA station radiophonique de Québec. Ses opinions tranchées et pertinentes sur des sujets chauds de l'actualité ainsi que sa forte personnalité font de Radio X l'incontournable de la Capitale.",?,Broadcasting & Media Production Company,?,?,?,?,?,?,?,54945,1277,"70,164765"
radpointca,Rad,115457012314003,Un laboratoire de journalisme de Radio-Canada,Un laboratoire de journalisme de Radio-Canada,Tester de nouvelles façons de vous informer,Media/News Company,?,?,Canada,QC,Montreal,1400 Boulevard René-Lévesque E,"1400 Boulevard René-Lévesque E, Montreal, Quebec H2L 2M2",20734,1444,"29,939896"
rdieconomie,RDI Économie,273070192878526,"Lundi au vendredi à 18h30 HE sur les ondes d'ICI RDI
Notre courriel : rdieconomie@radio-canada.ca","RDI économie, c'est pour tout le monde le moindrement un peu curieux. Le but de l'émission est d'expliquer les enjeux socioéconomiques. L'économie fait partie de notre vie quotidienne et au coeur de nombreuses décisions politiques ici comme ailleurs. S'intéresser à ce qui se passe dans l'économie, c'est s'engager à mieux comprendre le monde dans lequel on vit, c'est se donner les moyens de faire partie des décisions et non de les subir. Posez-nous vos questions!",?,TV Show,?,?,?,?,?,?,?,63963,5763,"368,618769"
RDS,RDS,132756582352,La page Facebook de RDS. Le sport sans limites! Retrouvez toutes les nouvelles du sport sur www.rds.ca.,?,"Informer et divertir tous les amateurs de sports par le biais de nouvelles, analyses, images, vidéos, webdiffusions, de même que différents jeux et autres applications interactives.",TV Network,?,?,Canada,QC,Montreal,"1755, Boul. René-Lévesque Est","1755, Boul. René-Lévesque Est, Montreal, Quebec H2K 4P6",367942,23879,"8786,087018"
SaintFrancoisTCMedia,Le Journal Saint-François,541550695869194,"Le Saint-François est un journal de Gravité Media distribué gratuitement chaque mercredi dans quelque 35 800 foyers de Valleyfield, Soulanges et la région. ","Hebdomadaire et site web de Gravité Média couvrant les villes de Salaberry-de-Valleyfield, Soulanges et la région. http://www.journalsaint-francois.ca",?,Media/News Company,?,?,Canada,QC,Salaberry-de-Valleyfield,55 rue Jacques-Cartier,"55 rue Jacques-Cartier, Salaberry-De-Valleyfield, Quebec J6T 4R4",16091,2637,"42,431967"
SalutBonjour.tv,Salut Bonjour,119123001761,Lundi au dimanche 6h00 @ 10h00    Réseau TVA http://tva.canoe.ca/emissions/salutbonjour/,?,?,TV Show,?,?,?,?,?,?,?,575843,27137,"15626,651491"
SympaticoPortail,Sympatico,144006416284, Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca. ,Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca.,"Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca. Cliquez ""LIKE"" ou ""J'AIME"" sur cette page pour ne rien manquer de l'Actualité, des informations, du sport, des potins de stars d'ici et d'ailleurs, ainsi que des nouveautés dans les domaines de l'automobile, du voyage, de la mode, de la décoration et entretien d'une maison, etc.

Nous désirons avoir de vos nouvelles. Nous ferons de notre mieux pour que les affichages conservent leur caractère familial sur cette page. Il se pourrait toutefois que nous ne soyons pas toujours en mesure de vérifier chacun des affichages. Nous comptons sur vous pour rester polis et suivre quelques directives axées sur le bon sens lorsque vous partagez vos idées, vos photos ou toute autre information de circonstance.

Veuillez ne pas afficher dinformation qui :
représente une attaque personnelle ;
constitue un pourriel, y compris une promotion ou toute autre forme de publicité personnelle ;
ne vous appartient pas, sans donner votre permission ou le crédit approprié ;
soit de nature offensive, obscène, diffamatoire ou abusive ;
soit de nature frauduleuse ou trompeuse ;
soit de nature illégale ou interdite. 

Sympatico.ca se réserve le droit de retirer tout affichage de quiconque dérogerait au bon goût en tenant des propos grivois ou déplacés. 

Les affichages sur la page Facebook de Sympatico.ca ne sont pas représentatifs des opinions des organismes derrière Sympatico.ca ou Bell. Nous ne sommes pas en mesure non plus de confirmer leur justesse. Pour plus de renseignements sur les conditions dutilisation de Sympatico.ca, veuillez visiter http://www.bellmedia.ca/fr/conditions-des-sites-web-bell-media/ .
",News & Media Website,?,?,?,?,?,?,?,92386,10541,"973,840826"
tabloid.co,TABLOÏD,355706981519859,Histoires sans filtre.,?,Histoires sans filtre.,Media,?,?,?,?,?,?,?,2726,202,"0,550652"
TeleQc,Télé-Québec,432743573441081,Fréquentez-nous le plus souvent possible : cette télévision est faite pour vous! www.telequebec.tv,"Passionné(e)s de Télé-Québec, bienvenue!
Nous vous encourageons à partager ici vos commentaires et réactions à légard de tout ce qui se diffuse sur notre chaîne et sur toute autre plateforme (web, mobile, etc.) exploitée par Télé-Québec.  Nous aimons interagir avec vous, alors n'hésitez pas à vous exprimer et à échanger sur cette page! 

Cependant, nous comptons sur vous afin de faire preuve de courtoisie et de respect dans vos interventions. Avec l'objectif de favoriser des échanges agréables, nous tenons à vous informer de notre nétiquette régissant la façon dont les utilisateurs peuvent contribuer à cette page Facebook.

Veuillez donc vous référer à notre politique de nétiquette : http://www.telequebec.tv/corporatif/?section=netiquette

Merci de votre collaboration, de faire partie de notre communauté Facebook et au plaisir d'échanger avec vous!


",?,TV Channel,?,?,Canada,QC,Montreal,?,"Montreal, Quebec H2K 3L7",78067,19362,"1511,533254"
tvaabitibi,TVA Nouvelles Abitibi-Témiscamingue,145458018925308,Vos rendez-vous d'information en Abitibi-Témiscamingue: 12h15 et 17h58.,"Des journalistes aux quatre coins de l'Abitibi-Témiscamingue.
Un bilan complet de ce qui se passe dans votre région.",?,Media/News Company,?,?,?,?,?,?,?,20346,819,"16,663374"
tvaestduquebec,TVA Est-du-Québec,134592973261866,"Bienvenue sur la page Facebook de TVA Est-du-Québec, pour tout savoir et tout voir sur votre télé #1 dans la région.","Nos productions locales :
- Le TVA nouvelles midi édition régionale, animé par Martin Blanchet (du lundi au vendredi, de 12:15 à 12:30)
- Le TVA Nouvelles 18h édition régionale, animé par Martin Blanchet (du lundi au vendredi, de 18:15 à 18:30)","Vous informer, vous divertir et vous offrir un produit de qualité, telle est la mission quotidienne de TVA Est-du-Québec !",Broadcasting & Media Production Company,TV Network,Other,Canada,QC,Rimouski,"465, boulevard Sainte-Anne","465, boulevard Sainte-Anne, Rimouski, Quebec G5M 1G1",20994,1487,"31,218078"
tvagatineauottawa,TVA Gatineau-Ottawa,213820898747207,Le leader de l'information à Gatineau-Ottawa.,"Miroir de la société, TVA Gatineau-Ottawa, une station du groupe RNC Media inc., est dirigée par des gens d'ici. Des gens passionnés qui, depuis plus de trente ans, ont cru et croient encore en la réussite d'une station de télévision régionale francophone au service de sa communauté. 

Toujours au premier rang des émissions de langue française dans le marché de la région, TVA Gatineau-Ottawa poursuit sa mission d'excellence. La station produit des émissions de nouvelles locales quotidiennement. Le TVA Nouvelles Gatineau-Ottawa dresse un bilan complet de l'actualité se déroulant dans l'Outaouais québécois, mais également en provenance d'Ottawa et de l'Est ontarien. Vous y retrouverez des sujets qui préoccupent et concernent la population de la région que ce soit dans le domaine de la santé, de l'éducation, de la politique, de l'économie, du sport ou du secteur communautaire. Pour être bien informé de ce qui se passe chez vous, l'équipe de TVA Gatineau-Ottawa est au rendez-vous!",?,TV Channel,?,?,?,?,?,?,?,52999,3504,"185,708496"
