code,nom,fbID,apropos,description,mission,categorie1,categorie2,categorie3,pays,état,ville,adresse courte,adresse longue,likes,talking_about,Indice (L*TA/10⁶)
lafrontiere,La Frontière / Le Citoyen,109730386592,Pour consulter notre politique d'utilisation: http://www.lafrontiere.ca/termes ,"Journal hebdomadaire propriété de TC Media. L'actualité des régions d'Amos, Val-d'Or, La Sarre, Rouyn-Noranda et Ville-Marie. ",?,Newspaper,Media/News Company,Other,Canada,QC,Rouyn,"177, rue Taschereau Est","177, rue Taschereau Est, Rouyn, Quebec J9X 3E6",18640,2216,"41,30624"
TVASherbrooke,TVA Sherbrooke,167332933286664,Positions : Vidéotron Câble 04 | HD 604 | Shaw Direct 718 | Bell TV 107 | Ondes hertziennes 07,"TVA Nouvelles, lundi au vendredi, 12 h 15 et 18 h 10
Suivez Stéphane Lévesque et l'équipe de journalistes les plus expérimentés en Estrie.
",?,TV Channel,?,?,Canada,QC,Sherbrooke,"3330, rue King Ouest","3330, rue King Ouest, Sherbrooke, Quebec J1L 1C9",41315,972,"40,15818"
jefffillionradio,Jeff Fillion,12684393342,"http://www.twitter.com/jefffillion  http://www.radiopirate.com
http://www.jefffillion.com",?,?,Public Figure,?,?,Canada,QC,Quebec,?,"Quebec, Quebec",36231,1107,"40,107717"
icicotenord,ICI Côte-Nord,165824360177331,"ICI Côte-Nord
Bonjour la Côte!
En semaine 6 h
Animation : Bis Petitpas 
http://ici.radio-canada.ca/premiere/emissions/bonjour-la-cote

Boréale 138
En semaine 15h30
Animation : Michel Plourde
http://ici.radio-canada.ca/premiere/emissions/boreale-138",?,?,Media/News Company,?,?,?,?,?,Radio-Canada Côte-Nord,Radio-Canada Côte-Nord,12568,2925,"36,7614"
JournalLeSoleildeChateauguay,Journal Le Soleil de Châteauguay,275463874404,"Le Soleil de Châteauguay, de Gravité Média, est distribué gratuitement chaque mercredi en version imprimée dans quelque 30 000 foyers. Il diffuse aussi des nouvelles en continu au www.cybersoleil.com",Pour connaître nos modalités d'utilisation cliquez ici http://www.cybersoleil.com/termes,?,Media,?,?,Canada,QC,Châteauguay,"82, boulevard Salaberry Sud","82, boulevard Salaberry Sud, Châteauguay, Quebec J6J 4J6",12960,2689,"34,84944"
le.show.du.matin.CHOI981,"Gravel dans le retour - Radio X 98,1",118869274694,"Gravel dans le retour, lundi au vendredi, 15h à 18h!","jfblais@radiox.com pour nous faire parvenir vos scoops, vos histoires, vos sujets. N'hésitez pas !!!",?,Radio Station,Broadcasting & Media Production Company,Media,Canada,QC,Quebec,"1134, Grande-Allée Ouest","1134, Grande-Allée Ouest, Quebec, Quebec G1S 1E5",34357,1005,"34,528785"
LeNordCotier,Le Nord-Côtier,254400736372,"719, Boul. Laure
Sept-Îles (QC) 
G4R 1Y2 

www.lenord-cotier.com
twitter.com/lenordcotier
journal@lenord-cotier.com
(418) 960-2090 
(418) 968-3129 (téléc.) 

PROPRIÉTAIRES 
Simon Brisson 
Gino Lévesque

DIRECTEUR GÉNÉRAL 
Gino Lévesque","23 mars 2007 - Première parution du Journal Le Nord-Côtier 

",?,Newspaper,?,?,Canada,QC,Sept-Îles,"719, boulevard Laure","719, boulevard Laure, Sept-Îles, Quebec G4R 1Y2",15424,2199,"33,917376"
lechoabitibien,L'Écho Abitibien,252516926738,"Pour connaître nos politiques d'utilisation et de confidentialité, cliquez ici: 

http://tctranscontinental.com/privacy-policy","L'Écho Abitibien est un hebdomadaire vendu le vendredi. Le Citoyen est un hebdomadaire gratuit dont la date de parution est le mercredi. Le site web comprend tous les articles écrits dans ces deux publications.

Cette page est ouverte aux commentaires des citoyens. Nous prions les internautes de rester polis. Il est interdit de soumettre du contenu discriminatoire, insultant ou inapproprié, qui pourrait être retiré de notre page à notre discrétion.",?,Newspaper,?,?,Canada,QC,Val-d'Or,1462 rue de la Québécoise,"1462 rue de la Québécoise, Val-d'Or, Quebec J9P 5H4",19374,1693,"32,800182"
lavoixdelest,La Voix de l'Est,180973521937146,"Quotidien La Voix de l'Est
www.lavoixdelest.ca | http://twitter.com/lavoixdelest
redaction@lavoixdelest.ca
http://instagram.com/lavoixdelest","Notre site : www.lavoixdelest.ca
Notre compte Twitter : http://twitter.com/lavoixdelest
",?,Newspaper,?,?,Canada,QC,Granby,76 rue Dufferin,"76 rue Dufferin, Granby, Quebec J2G 9L4",15278,2074,"31,686572"
Le1518,Le 15-18,493770360693544,"Émission de retour à la maison sur ICI Radio-Canada Première animée par Annie Desrochers. En ondes du lundi au vendredi de 15 h à 18 h au 95,1.","Au menu : entrevues, chroniques, analyses et débats sur les sujets chauds du jour aussi bien régionaux, nationaux qu’internationaux.

Animation : Annie Desrochers 
Sports : Jean-Patrick Balleux 
Culture : Catherine Richer
Météo : Eve Christian 
Circulation : Yves Desautels

Reportages : Danny Braun, Dominic Brassard et Francis Labbé 
Chroniques :  
Michel C. Auger (Analyse politique) 
Marie-France Bazzo (Actualité) 
Simon Jodoin (Actualité)
Marc-André Carignan (Politique et actualité municipales) 
Jean-François Nadeau (Histoire de Montréal) 
Guy Bertrand (Linguistique) 
François Brousseau (Actualité internationale) 
Elizabeth Plank (Actualité américaine) 
Suzanne Coupal (Justice) 
Gérald Fillion (Économie) 
Fred Savard (Apéro intello) 

Recherche : Myriam Lemay-Gosselin, Hélène Bédard et André Dufresne 
Mise en ondes : Linda Pine
Assistante à la réalisation : Martine Roy 
Réalisation : Philippe Brazeau
Site Internet et réseaux sociaux : Catherine Contant

Veuillez noter que nous suivons la nétiquette de Radio-Canada pour effectuer la modération de cette page : http://www.radio-canada.ca/histoire/netiquette.html",?,Broadcasting & Media Production Company,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",18218,1730,"31,51714"
tvaestduquebec,TVA Est-du-Québec,134592973261866,"Bienvenue sur la page Facebook de TVA Est-du-Québec, pour tout savoir et tout voir sur votre télé #1 dans la région.","Nos productions locales :
- Le TVA nouvelles midi édition régionale, animé par Martin Blanchet (du lundi au vendredi, de 12:15 à 12:30)
- Le TVA Nouvelles 18h édition régionale, animé par Martin Blanchet (du lundi au vendredi, de 18:15 à 18:30)","Vous informer, vous divertir et vous offrir un produit de qualité, telle est la mission quotidienne de TVA Est-du-Québec !",Broadcasting & Media Production Company,TV Network,Other,Canada,QC,Rimouski,"465, boulevard Sainte-Anne","465, boulevard Sainte-Anne, Rimouski, Quebec G5M 1G1",20994,1487,"31,218078"
radpointca,Rad,115457012314003,Un laboratoire de journalisme de Radio-Canada,Un laboratoire de journalisme de Radio-Canada,Tester de nouvelles façons de vous informer,Media/News Company,?,?,Canada,QC,Montreal,1400 Boulevard René-Lévesque E,"1400 Boulevard René-Lévesque E, Montreal, Quebec H2L 2M2",20734,1444,"29,939896"
icibassaintlaurent,ICI Bas-Saint-Laurent,243777932386097,"Pour être au fait de toute l'information régionale, nationale et internationale!","LA PAGE # 1 EN INFORMATION RÉGIONALE! Tous les jours, soyez informés de ce qui se passe ici et ailleurs! Que ce soit les entrevues de nos équipes des émissions de la Première Chaîne ou les nouvelles qui seront à l'affiche au Téléjournal Est du Québec, vous serez au courant de tout!

Merci de respecter la nétiquette lors de vos échanges, et surtout de demeurer respectueux des autres internautes, sans quoi vous courez le risque d'être bannis ne notre tribune : http://ici.radio-canada.ca/apropos/conditionsutilisation/netiquette/

Veuillez noter que nous effectuons une modération de base des commentaires, mais que nous n'avons pas la capacité de tous les lire. Merci de nous signaler les commentaires que vous jugez inappropriés.",?,Broadcasting & Media Production Company,?,?,Canada,QC,Rimouski,"185, boul. René-Lepage Est","185, boul. René-Lepage Est, Rimouski, Quebec G5L1P2",17685,1646,"29,10951"
lanouvellenet,www.lanouvelle.net,109588815731299,?,?,?,Newspaper,?,?,Canada,QC,Victoriaville,43 Rue Notre-Dame E,"43 Rue Notre-Dame E, Victoriaville, Quebec G6P 3Z4",16772,1728,"28,982016"
919sport,91.9 Sports,880897441945418,Du sport... en continu! - Station de radio - Montréal,?,?,Radio Station,?,?,?,?,?,?,?,31664,909,"28,782576"
iciabitibi,ICI Abitibi-Témiscamingue,275069289242598,"Toutes les nouvelles d'ICI Radio-Canada Abitibi-Témiscamingue, pour vous et avec vous. http://www.ici.radio-canada.ca/abitibi-temiscamingue/","Radio-Canada est le radiodiffuseur public national du Canada. Son bureau en Abitibi-Témiscamingue produit et diffuse des nouvelles régionales et des émissions à la radio. 

Fréquences pour nous capter :

- Rouyn-Noranda : 90,7 FM
- La Sarre : 100,7 FM
- Val-d'Or, Amos et Senneterre : 91,5 FM
- Ville-Marie : 89,1 FM
- Témiscaming : 103,1 FM
- Matagami : 1140 AM
- Lebel-sur-Quévillon : 650 AM
- Waswanipi : 101,5 FM","1. Servir l’intérêt public

Notre mission est d’informer, de révéler, de contribuer à la compréhension d’enjeux d’intérêt public et d’encourager la participation des Canadiens à notre société libre et démocratique.


2. Refléter la diversité

Nous tenons à refléter fidèlement l’éventail des expériences et des points de vue des Canadiens. Nos informations doivent être pertinentes aux yeux des citoyens, quelles que soient leurs origines, perspectives et croyances, tout en étant conformes à nos valeurs.

Nous nous engageons à refléter les diversités régionales et culturelles du pays et à favoriser le respect et la compréhension entre les régions.


3. Préserver notre indépendance

Nous sommes indépendants des lobbies et des pouvoirs politiques et économiques. Nous défendons la liberté d’expression et la liberté de la presse, garantes d’une société libre et démocratique. 

L’intérêt public guide toutes nos décisions.


4. Agir de façon responsable

Nous sommes conscients des conséquences de notre travail journalistique et de notre devoir d’honnêteté auprès des auditoires. Nous n’hésitons pas à corriger une erreur, si nécessaire, ni à effectuer un suivi lorsqu’une situation évolue de façon importante.

Le Bureau de l’ombudsman examine nos pratiques à la lumière des normes établies par les présentes politiques. Nous offrons ouvertement au public les moyens d’évaluer notre performance et de nous demander des comptes, notamment en partageant avec lui les éléments de mesure que nous employons pour évaluer la qualité de notre travail journalistique.

Nous gérons nos ressources de façon responsable. Nous visons l’excellence et le respect des meilleures pratiques dans notre action journalistique.",Arts & Entertainment,Media/News Company,Lake,Canada,QC,Rouyn,"70, avenue Principale","70, avenue Principale, Rouyn, Quebec J9X 4P2",11158,2535,"28,28553"
LeRefletduLac,Le Reflet du Lac,120816134637957,?,?,"Rapporter les nouvelles (politique, sportive, communautaire, culturelle) de la région desservie",Media,Media/News Company,Company,Canada,QC,Magog,"53, rue Centre (bureau 300)","53, rue Centre (bureau 300), Magog, Quebec J1X 5B6",13897,1941,"26,974077"
infodimanche,Info Dimanche,176907966183,Bienvenue sur notre page Facebook! Vous voulez partager une nouvelle? Une photo? Écrivez-nous : web@infodimanche.com,"Suivez-nous aussi sur Twitter : 
http://www.twitter.com/infodimanche

infodimanche.com
72, rue Fraser
Rivière-du-Loup, QC
web@infodimanche.com
418 862-1911",?,Media/News Company,?,?,Canada,QC,Rivière-du-Loup,"72, rue Fraser","72, rue Fraser, Rivière-du-Loup, Quebec G5R 1C6",15991,1516,"24,242356"
JournalLeCourrier,Le Courrier du Haut-Richelieu,123932807676082,Le journal le plus lu du Haut-Richelieu. Consultez toute l'actualité en temps réel au journallecourrier.ca ,"Le Courrier du Haut-Richelieu est une revue journalistique Web et imprimée.

- Actualité en temps réel au journallecourrier.ca
- 30 000 exemplaires bimensuellement
- Gratuit et accessible : nous couvrons plus de 35 Villes et municipalités
- Plus de 40 000 abonnés à notre page Facebook
- Nombreux concours et tirages en ligne
- Actualité et chroniques à saveur locale

Le Courrier du Haut-Richelieu : le journal local le plus lu.
",?,Newspaper,Advertising Agency,Business Service,Canada,QC,Saint-Jean-sur-Richelieu,192-A rue Richelieu,"192-A rue Richelieu, Saint-Jean-sur-Richelieu, Quebec J3B 6X6",42348,563,"23,841924"
iciontario,ICI Ontario,107649125949772,"Les nouvelles de Radio-Canada Ontario de vos pages régionales! 
ici.radio-canada.ca/toronto
ici.radio-canada.ca/nordontario
ici.radio-canada.ca/windsor",?,?,Broadcasting & Media Production Company,?,?,Canada,ON,Toronto,"205, rue Wellington Ouest","205, rue Wellington Ouest, Toronto, Ontario M5V 3G7",17549,1339,"23,498111"
EchosVedettes,Magazine Échos Vedettes,239007911977,"Échos Vedettes, LE magazine de VOS vedettes!  Soyez à l'affût des nouvelles artistiques de l'heure sur Twitter: http://twitter.com/echosvedettes ",?,"Nous vous remercions pour vos commentaires! Sachez par contre, que les mentions qui de près ou de loin pourraient affecter le travail de nos journalistes, devront être supprimées. Nous vous remercions de votre compréhension et collaboration.",Company,?,?,?,?,?,?,?,14752,1562,"23,042624"
magazinelasemaine,Magazine La Semaine,302171686505596,Bienvenue sur la page La Semaine!,"NÉTIQUETTE : Les conditions d’utilisation et modération de la page.

La page Facebook La Semaine se veut un lieu d’échange où tous et chacun se sent à l’aise de participer et de partager. La politesse, la courtoisie et le respect sont de mises. Par contre, tout commentaire hors sujet, promotionnel ou de sollicitation, violent, vulgaire, sexuel, haineux ou discriminatoire sera retiré sans préavis.
Aucune atteinte à la vie privée ou personnelle des artistes ou des personnalités ne sera tolérée. La Semaine n’est pas responsable des commentaires émis par les participants.
Les commentaires qui sont publiés sont sous l’entière responsabilité des participants.
*Tout concours/tirages promus sur la page Facebook du magazine La Semaine s'adressent aux résidents du Canada seulement.","Publiée chaque jeudi depuis plus de 8 ans, LA SEMAINE est devenue LA référence en ce qui concerne l’actualité artistique. LA SEMAINE offre sur une base hebdomadaire des exclusivités avec des personnalités québécoises du moment, ainsi que des entrevues avec les célébrités qui font l’événement.
De plus, chaque semaine, une multitude de sujets sont couverts : beauté, santé, mode, recettes, science et technologie, jeux et horoscope.",Media/News Company,?,?,Canada,QC,Longueuil,?,"Longueuil, Quebec J4K 5G7",48866,463,"22,624958"
LeDroitca,Le Droit,152738728079652,"Le journal Le Droit, le quotidien francophone d'Ottawa-Gatineau.",?,?,Broadcasting & Media Production Company,Newspaper,News & Media Website,Canada,ON,Ottawa,"47, rue Clarence, bureau 222","47, rue Clarence, bureau 222, Ottawa, Ontario K1G 3J9",20527,1073,"22,025471"
lhebdodustmaurice,L'Hebdo du St-Maurice,245901508753940,Le complément d'information à VOTRE hebdo local de TC Media: www.lhebdodustmaurice.com ,"Bienvenue sur la Page Facebook de l'Hebdo du St-Maurice. Celle-ci est un complément d'information à votre hebdo local de Ici Médias. Nous vous invitons à «aimer» notre page pour être mis au courant de votre actualité locale régulièrement.

L'Hebdo vous fournit en actualités, mais s'intéresse également à ce que vous avez à dire et à ce que vous pensez.

",?,Broadcasting & Media Production Company,?,?,Canada,QC,Shawinigan,"1672, avenue Saint-Marc","1672, avenue Saint-Marc, Shawinigan, Quebec G9N 2H4",15507,1420,"22,01994"
journalles2rives,Les 2 Rives,133524939991445,"Les 2 Rives, votre hebdo depuis 1978!
Ce qui est écrit sur notre page Facebook peut être publié dans le journal papier.",?,?,News & Media Website,Newspaper,Media/News Company,Canada,QC,Sorel,"58, rue Charlotte","58, rue Charlotte, Sorel, Quebec J3P 1G3",10231,2110,"21,58741"
icimanitoba,ICI Manitoba,89275118194,"Radio-Canada au Manitoba offre des services de radio, de télévision et numériques qui comportent une très large programmation qui renseigne, éclaire et divertit. Elle dessert la population du Manitoba et celle du Nord-Ouest ontarien. ","CBC/Radio-Canada est le radiodiffuseur public national du Canada et l'une des plus grandes institutions culturelles du pays. Grâce à sa vaste gamme de services de radio et de télévision, ainsi que de services Internet et par satellite, CBC/Radio-Canada est accessible aux Canadiens à leur convenance. Au Manitoba, en plus d'informer et de refléter chaque jour la vie des gens, Radio-Canada contribue à l'essor des institutions et partenaires comme le Festival du Voyageur avec lequel elle entretient des liens privilégiés depuis plus de trente ans. Radio-Canada est d'ailleurs très heureuse d'offrir à son auditoire manitobain, de l'Ouest, de tout le pays et même d'outre-mer, des émissions qui mettent en valeur cette grande fête hivernale. 

CBC/Radio-Canada is Canada's national public broadcaster and one of this country's largest cultural institutions. Through the delivery of a comprehensive range of radio, television, Internet, and satellite-based services, CBC-Radio/Canada is available how, where, and when Canadians want it. In Manitoba, besides informing people and reflecting their daily lives, CBC/Radio-Canada contributes to the vitality of institutions and partners such as the Festival du Voyageur, with which it has been closely associated for over 30 years. CBC/Radio-Canada is very pleased to provide its audiences in Manitoba, Western Canada, across Canada and even overseas, with programming that showcases this major winter festival. 


Nétiquette de Radio-Canada.ca : http://bit.ly/vsoSrP


http://twitter.com/RC_Manitoba
http://instagram.com/rcmanitoba",?,Broadcasting & Media Production Company,Arts & Entertainment,Telecommunication Company,Canada,MB,Winnipeg,541 Portage Avenue,"541 Portage Avenue, Winnipeg, Manitoba R3C 2H1",11925,1808,"21,5604"
cime.fm,CIME.FM,127754787264573,CIME 103.9 101.3 La couleur musicale des Laurentides : Une radio impliquée dans sa région et branchée sur les grands événements de chez nous.,"Pour nous joindre en studio : 450 304-2463 ou 1 844 304-2463

Si vous êtes témoins d'un évènement, n'hésitez pas à communiquer avec nos journalistes via nouvelles@cime.fm ou via le 450 431-2463 poste 231 ou 450-712-1039.",?,Arts & Entertainment,Broadcasting & Media Production Company,Radio Station,Canada,QC,Saint-Jérôme,"300, rue Marie-Victorin","300, rue Marie-Victorin, Saint-Jérôme, Quebec J7Y 2G8",9333,2298,"21,447234"
lecanadafrancais,Journal Le Canada français,255561392521,L'hebdo du Haut-Richelieu depuis 150 ans.,"Le Canada Français fait partie du groupe de presse icimédias. L’objectif de cette page est de diffuser les histoires faisant vibrer les gens de la ville et engager la conversation avec eux sur les sujets qui les interpellent.
",?,Newspaper,?,?,Canada,QC,Saint-Jean-sur-Richelieu,"315, rue MacDonald, bureau 250","315, rue MacDonald, bureau 250, Saint-Jean-sur-Richelieu, Quebec J3B 8J3",20524,1016,"20,852384"
summummag,Magazine Summum,151307521582991,"SUMMUM - Page officielle
Notez que SUMMUM se réserve le droit de supprimer tout commentaire diffamatoire, vulgaire ou haineux. 

Twitter : @MagazineSUMMUM
Instagram : @summummag","Depuis 2003, SUMMUM est un magazine d’intérêt masculin unique au Québec qui se distingue tout particulièrement par ses enquêtes exclusives ou ses sujets d’actualité. SUMMUM traite, entre autres choses, des sujets suivants : arts, technologie, motorisation, gent féminine, divertissement, sport, actualité. 

Selon PMB, SUMMUM enregistre une hausse constante de son lectorat, et ce, année après année! Chaque mois, SUMMUM rejoint plus de 257 000 lecteurs avec sa version imprimée, sans compter le site web et la page Facebook, ce qui en fait le magazine numéro un pour les hommes, au Québec.
",?,Magazine,?,?,Canada,QC,Quebec,"214, av. St-Sacrement","214, av. St-Sacrement, Quebec, Quebec G1x 3N6",48190,414,"19,95066"
CIHOFM,"CIHO FM 96,3 Charlevoix",101619366699027,"Radio MF Charlevoix inc. est la radio de Charlevoix!

CIHO est accessible sur les ondes au 96,3 / 88,1 / 92,1 / 105,9 et sur internet au www.cihofm.com",?,"Leader dans son milieu, CIHO 96,3, la radio de Charlevoix, a pour mission d'informer, échanger et divertir, et ce, dans un souci de respect, d'authenticité et d'engagement.",Radio Station,?,?,Canada,QC,Saint Hilarion,"315, Cartier-Nord","315, Cartier-Nord, Saint Hilarion, Quebec G0A 3V0",9980,1803,"17,99394"
tvaabitibi,TVA Nouvelles Abitibi-Témiscamingue,145458018925308,Vos rendez-vous d'information en Abitibi-Témiscamingue: 12h15 et 17h58.,"Des journalistes aux quatre coins de l'Abitibi-Témiscamingue.
Un bilan complet de ce qui se passe dans votre région.",?,Media/News Company,?,?,?,?,?,?,?,20346,819,"16,663374"
hebdojournal,L'Hebdo Journal,146779575365794,"Fondé en 1967, L'Hebdo Journal est un hebdomadaire distribué gratuitement de porte à porte dans les foyers de Trois-Rivières et dans la MRC des Chenaux.","Fondé en 1967, L'Hebdo Journal est un hebdomadaire de TC-Media distribué gratuitement de porte à porte dans près de 61 110 foyers de la ville de Trois-Rivières et de la MRC des Chenaux.",?,Media/News Company,?,?,?,?,Trois-Rivières,635 rue Père-Daniel,"635 rue Père-Daniel, G9A 5Z7 Trois-Rivières",16313,1018,"16,606634"
1077fm,107.7 FM Estrie,335968163160985,Attendez vous à plus !,?,?,Radio Station,?,?,?,?,?,?,?,23053,681,"15,699093"
EstriePlus,EstriePlus.com Le Journal Internet,175788645805484,Le Journal Internet www.estrieplus.com livre l'actualité quotidienne régionale en direct et archivée et offre plusieurs outils web interactifs. Annonces classées - Avis de décès - Nouvelles régionales - Emplois - Concours - Annuaire,"Plus de 70% de la population estrienne est utilisateur d'internet et 75% des types de sites web les plus visités se trouvent sur EstriePlus.com.

Avec plus de 100,000 visites par mois, EstriePlus.com est le média le plus lu en Estrie.

Une équipe expérimentée et compétente de gens passionnés voit au succès d'EstriePlus.com.

Nous proposons aux entreprises différents forfaits pour leur campagne publicitaire et aux lecteurs un contenu actualisé tous les jours.

Vous voulez :

    * Annoncer un événement (communautaire, sportif, etc.)
    * Acheter un espace publicitaire 
    * Avoir votre propre site Internet 
    * De l’information sur tous les services que nous offrons

Communiquez avec nous au : 819 563-1001 poste 228 ou info@estrieplus.com   ",Notre mission est d'informer la population et d'offrir une visibilité web aux entreprises de l'Estrie.,News & Media Website,?,?,Canada,QC,Sherbrooke,"175, rue Queen","175, rue Queen, Sherbrooke, Quebec J1M 1K1",14284,1096,"15,655264"
Droitinccom,Droit-inc.com,212721332076824,Le média d'information et d'offres d'emploi des avocats et conseillers juridiques du Québec,?,?,Media/News Company,?,?,Canada,QC,Montreal,"1470, rue Peel","1470, rue Peel, Montreal, Quebec H3A 1T1",21388,727,"15,549076"
NPmag,Nouveau Projet,206394119400702,"Idées, récits et modes d'emploi pour le 21e siècle. Pourquoi ne pas vous abonner? http://nouveauprojet.ca/abonnements","Essais, reportages, critiques, fiction... Un magazine qui n’a pas peur de mélanger le journalisme et la littérature, la philosophie et la bande dessinée, la culture populaire et la haute culture, les idées et les émotions, le je et le nous. Un magazine qui n’a pas peur, point.

Nouveau Projet est publié par Atelier 10.

Adresse postale
5101, rue Saint-Denis
CP 60135
Montréal, QC H2J 4E1

Les Signets publiés du lundi au vendredi sont sélectionnés par Émilie Folie-Boivin et Judith Oliver.

NB: Nous ne faisons pas de service à la clientèle via Facebook — pour toute question technique ou relative à votre abonnement, écrivez-nous à info@atelier10.ca ou appelez-nous au (514) 270-2010.",?,Magazine,?,?,Canada,QC,Montreal,"156, rue Beaubien Est","156, rue Beaubien Est, Montreal, Quebec H2S 1R2",41091,346,"14,217486"
beaucemedia,Beauce Média,125969067756,?,"Journal hebdomadaire de Icimédias, couvrant la circonscription de Beauce-Nord, dont les villes de Sainte-Marie et Saint-Joseph-de-Beauce.","Couvrir et diffuser les informations des MRC de La Nouvelle-Beauce, de Robert-Cliche et d'une partie de celle de Lotbinière.",Media/News Company,?,?,Canada,QC,Sainte-Marie,"1068, Boulevard Vachon Nord, bureau 010","1068, Boulevard Vachon Nord, bureau 010, Sainte-Marie, Quebec G6E 1M6",5418,2477,"13,420386"
canoe-francais,Canoe.ca - Portail francophone,128774320370,"Évadez-vous sur Canoe.ca, l'un des portails internet les plus visités au Québec, qui vous offre un contenu riche et diversifié, constamment renouvelé.",?,?,Website,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",62801,213,"13,376613"
icialberta,ICI Alberta,179488658767581,"Radio-Canada Alberta offre une programmation riche et variée aux francophones et francophiles de l'Alberta à la radio, à la télévision et sur Internet.","Radio-Canada Alberta, basée à Edmonton, offre une programmation riche et variée aux francophones et francophiles de l'Alberta à la radio, à la télévision et sur internet.

",?,Broadcasting & Media Production Company,?,?,Canada,AB,Edmonton,?,"Edmonton, Alberta T5J 2Y8",10779,1211,"13,053369"
Journal-Le-Manic-207875915892151,Journal Le Manic,207875915892151,Journal Le Manic,"Hebdomadaire distribué gratuitement a près de 16 000 exemplaires dans les municipalités de la Péninsule de Manicouagan, dans la ville de Baie-Comeau et dans les secteurs des Panoramas. Le Journal Le Manic est et demeure, depuis maintenant 12 ans, la référence en information dans la Manicouagan. 

Votre hebdomadaire Le Manic, ""L'hebdo des gens d'ici"", est un employeur d'importance et un acteur économique et social bien implanté dans la région.

Le Journal Le Manic est propriété de Les Éditions Nordiques, l'un des cinq groupes de presse reconnus par Hebdos Québec. Les Éditions Nordiques possèdent quatre journaux,  sur la Côte-Nord et dans Charlevoix. Tous occupent une place enviable dans leur communauté.",?,Newspaper,?,?,Canada,QC,Baie-Comeau,"770, De Bretagne","770, De Bretagne, Baie-Comeau, Quebec G5C 1X5",10381,1103,"11,450243"
45eNord,45eNord.ca,116494878488028,"Bienvenue sur la page Facebook de 45eNord.ca, VOTRE site d'actualités militaires et de défense en français au Canada. | http://www.45eNord.ca ",?,?,Media/News Company,?,?,Canada,QC,Montreal,4897 chemin Queen Mary,"4897 chemin Queen Mary, Montreal, Quebec h3w1x1",18309,560,"10,25304"
fm.mauricie,106.9 FM Mauricie,343611139056789,Attendez-vous à plus!,?,?,Radio Station,?,?,?,?,?,?,?,14540,704,"10,23616"
lecourrierdusud,Le Courrier du Sud,341883588568,Soyez à l'affût de l'actualité régionale!,?,"Rendre compte de l'actualité et du dynamisme de l'Agglomération de Longueuil.

Les propos tenus sur cette page sont publics et peuvent donc être cités dans les pages du Journal.",Broadcasting & Media Production Company,?,?,Canada,QC,Longueuil,267 rue Saint-Charles Ouest,"267 rue Saint-Charles Ouest, Longueuil, Quebec J4H 1E3",7936,1258,"9,983488"
QuebecScience,Québec Science,280257226593,"Magazine d'information et d'actualité scientifiques créé en 1962, reconnu pour sa rigueur et l'originalité de son regard et de son style. www.quebecscience.qc.ca",?,"Depuis 1962, le magazine Québec Science a pour mission de faire écho aux recherches scientifiques québécoises, canadiennes et internationales, de les diffuser auprès du grand public et de participer aux grands débats de société entourant tous les enjeux scientifiques.",Magazine,?,?,?,?,Montréal,1251 Rachel Est,"1251 Rachel Est, h2J 2J9 Montréal",12593,740,"9,31882"
magazineClindoeil,Clin d'oeil,301022325492,LE PREMIER MAGAZINE DE MODE AU QUÉBEC Clin d’oeil présente à ses lectrices les dernières tendances mode et les créations des plus grands designers.  www.clindoeil.ca  http://twitter.com/Mag_clindoeil,Abonnement : 1 888 535-8634 ou www.tvapublications.com/abonnements,"Clin d’oeil nourrit sans limites la passion des femmes
pour la mode et la beauté, avec des reportages photos
glamour, de nombreuses pages de shopping et des
chroniques sur toutes les nouveautés: parfums, produits
de beauté, maquillage et coiffure.",Magazine,?,?,?,?,?,?,?,87655,105,"9,203775"
premiereheure,Première heure avec Claude Bernatchez,116971661655293,"Des entrevues, des chroniques culturelles et citoyennes, l’actualité de Québec et d’ailleurs. Du lundi au vendredi à Ici Première 106,3 FM
.
",?,?,Local Business,?,?,?,?,"106,3",Radio-Canada,"Radio-Canada, 106,3",11129,776,"8,636104"
journallaction,Journal L'Action,282075260681,"Depuis 41 ans, Le journal L'Action présente l'ensemble des événements de la région de Joliette et les environs. Tenez-vous à jour des dernières nouvelles, ",?,?,Newspaper,?,?,Canada,QC,Joliette,342 Beaudry Nord,"342 Beaudry Nord, Joliette, Quebec J6E 6A6",10749,791,"8,502459"
